08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.281C/47.843C tj@47.843C/48.25C soc012@45.593C/46.718C gpu@47.843C/48.25C soc345@44.75C/45.125C VDD_GPU 4744mW/5096mW/5535mW VDD_CPU_SOC_MSS 5928mW/6689mW/7904mW VIN_SYS_5V0 5745mW/6132mW/6552mW VIN 22756mW/22558mW/32018mW
08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.343C/47.843C tj@47.75C/48.25C soc012@45.343C/46.718C gpu@47.75C/48.25C soc345@44.843C/45.125C VDD_GPU 4744mW/5088mW/5535mW VDD_CPU_SOC_MSS 5928mW/6672mW/7904mW VIN_SYS_5V0 5745mW/6123mW/6552mW VIN 23604mW/22581mW/32018mW
08-30-2026 19:52:18 RAM 5260/125749MB (lfb 112x4MB) CPU [7%@972,0%@972,90%@2601,100%@2601,0%@972,0%@972,91%@2601,91%@2601,100%@2601,92%@2601,92%@2601,91%@2601,0%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@49.031C/49.031C tj@49.031C/49.031C soc012@48.75C/48.75C gpu@47.75C/48.25C soc345@45.093C/45.125C VDD_GPU 4744mW/5080mW/5535mW VDD_CPU_SOC_MSS 8694mW/6715mW/8694mW VIN_SYS_5V0 6249mW/6126mW/6552mW VIN 34968mW/22839mW/34968mW
08-30-2026 19:52:18 RAM 6301/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,7%@972,0%@972,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@50.656C/50.656C tj@50.656C/50.656C soc012@50.437C/50.437C gpu@47.781C/48.25C soc345@45.343C/45.343C VDD_GPU 4744mW/5074mW/5535mW VDD_CPU_SOC_MSS 11856mW/6820mW/11856mW VIN_SYS_5V0 6753mW/6139mW/6753mW VIN 43756mW/23257mW/43756mW
08-30-2026 19:52:19 RAM 6664/125749MB (lfb 15x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,33%@2601,33%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@49.187C/50.656C tj@49.187C/50.656C soc012@48.406C/50.437C gpu@47.906C/48.25C soc345@45.312C/45.343C VDD_GPU 4744mW/5067mW/5535mW VDD_CPU_SOC_MSS 13832mW/6957mW/13832mW VIN_SYS_5V0 7168mW/6159mW/7168mW VIN 33142mW/23447mW/43756mW
08-30-2026 19:52:19 RAM 6739/125749MB (lfb 15x4MB) CPU [8%@972,0%@972,100%@2601,100%@2601,75%@2601,66%@2601,100%@2601,100%@2601,92%@2601,100%@2601,100%@2601,100%@2601,0%@972,7%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@50.093C/50.656C tj@50.093C/50.656C soc012@49.843C/50.437C gpu@47.812C/48.25C soc345@45.375C/45.375C VDD_GPU 4744mW/5061mW/5535mW VDD_CPU_SOC_MSS 14227mW/7095mW/14227mW VIN_SYS_5V0 7168mW/6178mW/7168mW VIN 41146mW/23775mW/43756mW
08-30-2026 19:52:19 RAM 6863/125749MB (lfb 15x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 1%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.093C/52.093C tj@52.093C/52.093C soc012@49.906C/50.437C gpu@47.906C/48.25C soc345@45.468C/45.468C VDD_GPU 4744mW/5055mW/5535mW VDD_CPU_SOC_MSS 15808mW/7253mW/15808mW VIN_SYS_5V0 7572mW/6203mW/7572mW VIN 41212mW/24086mW/43756mW
08-30-2026 19:52:19 RAM 7010/125749MB (lfb 7x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,7%@972,0%@972] EMC_FREQ 2%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.156C/52.156C tj@52.156C/52.156C soc012@50.093C/50.437C gpu@47.781C/48.25C soc345@45.656C/45.656C VDD_GPU 4744mW/5050mW/5535mW VDD_CPU_SOC_MSS 16993mW/7424mW/16993mW VIN_SYS_5V0 7874mW/6233mW/7874mW VIN 41438mW/24385mW/43756mW
08-30-2026 19:52:19 RAM 7074/125749MB (lfb 6x4MB) CPU [0%@972,7%@972,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,7%@972,0%@972] EMC_FREQ 2%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.5C/52.5C tj@52.5C/52.5C soc012@49.937C/50.437C gpu@47.875C/48.25C soc345@45.625C/45.656C VDD_GPU 5139mW/5051mW/5535mW VDD_CPU_SOC_MSS 17784mW/7600mW/17784mW VIN_SYS_5V0 7874mW/6260mW/7874mW VIN 41300mW/24667mW/43756mW
08-30-2026 19:52:19 RAM 7139/125749MB (lfb 7x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 2%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.75C/52.75C tj@52.75C/52.75C soc012@50.093C/50.437C gpu@47.937C/48.25C soc345@45.718C/45.718C VDD_GPU 5139mW/5053mW/5535mW VDD_CPU_SOC_MSS 18574mW/7779mW/18574mW VIN_SYS_5V0 7874mW/6287mW/7874mW VIN 41374mW/24937mW/43756mW
08-30-2026 19:52:19 RAM 7202/125749MB (lfb 7x4MB) CPU [0%@972,0%@972,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@2601,100%@2601,100%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 3%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.437C/52.75C tj@52.437C/52.75C soc012@50.125C/50.437C gpu@47.906C/48.25C soc345@45.625C/45.718C VDD_GPU 5139mW/5054mW/5535mW VDD_CPU_SOC_MSS 18969mW/7957mW/18969mW VIN_SYS_5V0 8177mW/6317mW/8177mW VIN 42766mW/25215mW/43756mW
08-30-2026 19:52:19 RAM 7253/125749MB (lfb 7x4MB) CPU [15%@972,0%@972,76%@2106,53%@2106,0%@1944,66%@1944,91%@2601,23%@2601,76%@2601,30%@2601,85%@2376,50%@2376,0%@972,7%@972] EMC_FREQ 3%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@48.531C/52.75C tj@48.531C/52.75C soc012@46.906C/50.437C gpu@48.281C/48.281C soc345@45.625C/45.718C VDD_GPU 5139mW/5055mW/5535mW VDD_CPU_SOC_MSS 18179mW/8114mW/18969mW VIN_SYS_5V0 7975mW/6342mW/8177mW VIN 28336mW/25263mW/43756mW
