08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [7%@972,0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,23%@972] EMC_FREQ 21%@4266 GR3D_FREQ @[1386,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@57.718C/57.718C tj@68.968C/68.968C soc012@52.437C/53.281C gpu@68.968C/68.968C soc345@60.437C/60.437C VDD_GPU 54493mW/10398mW/54493mW VDD_CPU_SOC_MSS 13020mW/8168mW/13020mW VIN_SYS_5V0 13124mW/7101mW/13124mW VIN 103364mW/35715mW/108924mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,25%@972] EMC_FREQ 24%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@57.843C/57.843C tj@68.718C/68.968C soc012@52.468C/53.281C gpu@69.093C/69.093C soc345@60.531C/60.531C VDD_GPU 57257mW/11440mW/57257mW VDD_CPU_SOC_MSS 13020mW/8276mW/13020mW VIN_SYS_5V0 13427mW/7242mW/13427mW VIN 103892mW/37197mW/108924mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,23%@972] EMC_FREQ 27%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.156C/58.156C tj@69.062C/69.062C soc012@52.531C/53.281C gpu@69.062C/69.093C soc345@60.687C/60.687C VDD_GPU 59208mW/12456mW/59208mW VDD_CPU_SOC_MSS 13420mW/8385mW/13420mW VIN_SYS_5V0 13730mW/7380mW/13730mW VIN 108504mW/38683mW/108924mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [7%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,25%@972] EMC_FREQ 29%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1557 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1557 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.312C/58.312C tj@69.343C/69.343C soc012@52.687C/53.281C gpu@69.343C/69.343C soc345@61.031C/61.031C VDD_GPU 61181mW/13450mW/61181mW VDD_CPU_SOC_MSS 13420mW/8488mW/13420mW VIN_SYS_5V0 14033mW/7515mW/14033mW VIN 108156mW/40072mW/108924mW
08-30-2026 18:36:57 RAM 3771/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,7%@972,0%@972,14%@972,0%@972,0%@972,30%@972] EMC_FREQ 31%@4266 GR3D_FREQ @[1386,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.437C/58.437C tj@69.625C/69.625C soc012@52.781C/53.281C gpu@69.625C/69.625C soc345@61.125C/61.125C VDD_GPU 62365mW/14409mW/62365mW VDD_CPU_SOC_MSS 13420mW/8585mW/13420mW VIN_SYS_5V0 14134mW/7645mW/14134mW VIN 107974mW/41378mW/108924mW
08-30-2026 18:36:58 RAM 3771/125749MB (lfb 37x4MB) CPU [15%@972,0%@972,0%@972,0%@972,7%@972,8%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,28%@972] EMC_FREQ 33%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1557 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1557 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.718C/58.718C tj@70.187C/70.187C soc012@52.906C/53.281C gpu@70.187C/70.187C soc345@61.531C/61.531C VDD_GPU 63549mW/15337mW/63549mW VDD_CPU_SOC_MSS 13809mW/8683mW/13809mW VIN_SYS_5V0 14336mW/7771mW/14336mW VIN 102874mW/42517mW/108924mW
08-30-2026 18:36:58 RAM 3771/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,16%@972] EMC_FREQ 35%@4266 GR3D_FREQ @[1385,1386,1385] NVENC0_FREQ @1557 NVENC1_FREQ @1556 NVDEC0_FREQ @1557 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1557 PVA0_FREQ off APE 300 cpu@58.781C/58.781C tj@69.968C/70.187C soc012@53C/53.281C gpu@69.968C/70.187C soc345@61.531C/61.531C VDD_GPU 64365mW/16228mW/64365mW VDD_CPU_SOC_MSS 13815mW/8777mW/13815mW VIN_SYS_5V0 14437mW/7893mW/14437mW VIN 109180mW/43707mW/109180mW
08-30-2026 18:36:58 RAM 3771/125749MB (lfb 37x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 37%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.843C/58.843C tj@70.218C/70.218C soc012@53.093C/53.281C gpu@70.218C/70.218C soc345@61.625C/61.625C VDD_GPU 64734mW/17079mW/64734mW VDD_CPU_SOC_MSS 13815mW/8865mW/13815mW VIN_SYS_5V0 14538mW/8009mW/14538mW VIN 108628mW/44827mW/109180mW
08-30-2026 18:36:58 RAM 3771/125749MB (lfb 37x4MB) CPU [8%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,30%@972] EMC_FREQ 38%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1557 NVDEC1_FREQ @1557 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@58.906C/58.906C tj@70.187C/70.218C soc012@53.156C/53.281C gpu@70.187C/70.218C soc345@61.718C/61.718C VDD_GPU 65155mW/17894mW/65155mW VDD_CPU_SOC_MSS 13815mW/8949mW/13815mW VIN_SYS_5V0 14538mW/8120mW/14538mW VIN 107816mW/45876mW/109180mW
08-30-2026 18:36:58 RAM 3772/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,40%@972] EMC_FREQ 39%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1557 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@59.187C/59.187C tj@70.156C/70.218C soc012@53.343C/53.343C gpu@70.156C/70.218C soc345@61.906C/61.906C VDD_GPU 65523mW/18675mW/65523mW VDD_CPU_SOC_MSS 13820mW/9029mW/13820mW VIN_SYS_5V0 14639mW/8227mW/14639mW VIN 107168mW/46865mW/109180mW
